t,T
0,307.691138300108
0.900000000000091,307.856286277112
1.80000000000018,307.938998046625
2.70000000000027,307.856286277112
3.59999999999991,307.856286277112
4.5,307.856286277112
5.40000000000009,307.856286277112
6.30000000000018,307.856286277112
7.20000000000027,307.856286277112
8.09999999999991,307.856286277112
9,307.856286277112
9.90000000000009,307.856286277112
10.8000000000002,307.856286277112
11.7000000000003,307.856286277112
12.5999999999999,307.856286277112
13.5,307.856286277112
14.4000000000001,307.856286277112
15.3000000000002,307.856286277112
16.2000000000003,307.856286277112
17.0999999999999,307.856286277112
18,307.856286277112
18.9000000000001,307.856286277112
19.8000000000002,307.856286277112
20.7000000000003,307.856286277112
21.5999999999999,307.856286277112
22.5,307.856286277112
23.4000000000001,307.856286277112
24.3000000000002,307.856286277112
25.2000000000003,307.856286277112
26.0999999999999,307.856286277112
27,307.856286277112
27.9000000000001,307.856286277112
28.8000000000002,307.856286277112
29.7000000000003,307.856286277112
30.5999999999999,307.856286277112
31.5,307.856286277112
32.4000000000001,307.856286277112
33.3000000000002,307.856286277112
34.2000000000003,307.773666542882
35.0999999999999,307.773666542882
36,307.773666542882
36.9000000000001,307.773666542882
37.8000000000002,307.773666542882
38.7000000000003,307.773666542882
39.5999999999999,307.773666542882
40.5,307.773666542882
41.4000000000001,307.773666542882
42.3000000000002,307.773666542882
43.2000000000003,307.773666542882
44.0999999999999,307.773666542882
45,307.773666542882
45.9000000000001,307.773666542882
46.8000000000002,307.773666542882
47.7000000000003,307.773666542882
48.5999999999999,307.773666542882
49.5,307.773666542882
50.4000000000001,307.773666542882
51.3000000000002,307.773666542882
52.2000000000003,307.773666542882
53.0999999999999,307.773666542882
54,307.773666542882
54.9000000000001,307.773666542882
55.8000000000002,307.773666542882
56.7000000000003,307.773666542882
57.5999999999999,307.773666542882
58.5,307.773666542882
59.4000000000001,307.773666542882
60.3000000000002,307.773666542882
61.2000000000003,307.773666542882
62.0999999999999,307.773666542882
63,307.773666542882
63.9000000000001,307.773666542882
64.8000000000002,307.773666542882
65.7000000000003,307.773666542882
66.5999999999999,307.773666542882
67.5,307.773666542882
68.4000000000001,307.773666542882
69.3000000000002,307.773666542882
70.2000000000003,307.773666542882
71.0999999999999,307.773666542882
72,307.773666542882
72.9000000000001,307.773666542882
73.8000000000002,307.773666542882
74.7000000000003,307.773666542882
75.5999999999999,307.773666542882
76.5,307.773666542882
77.4000000000001,307.773666542882
78.3000000000002,307.773666542882
79.2000000000003,307.773666542882
80.0999999999999,307.691138300108
81,307.773666542882
81.9000000000001,307.773666542882
82.8000000000002,307.773666542882
83.7000000000003,307.773666542882
84.5999999999999,307.773666542882
85.5,307.773666542882
86.4000000000001,307.773666542882
87.3000000000002,307.773666542882
88.2000000000003,307.773666542882
89.0999999999999,307.773666542882
90,307.773666542882
90.9000000000001,307.773666542882
91.8000000000002,307.773666542882
92.7000000000003,307.773666542882
93.5999999999999,307.773666542882
94.5,307.773666542882
95.4000000000001,307.773666542882
96.3000000000002,307.773666542882
97.2000000000003,307.691138300108
98.0999999999999,307.691138300108
99,307.691138300108
99.9000000000001,307.691138300108
100.8,307.773666542882
101.7,307.691138300108
102.6,307.691138300108
103.5,307.773666542882
104.4,307.773666542882
105.3,307.773666542882
106.2,307.773666542882
107.1,307.773666542882
108,307.691138300108
108.9,307.773666542882
109.8,307.691138300108
110.7,307.691138300108
111.6,307.691138300108
112.5,307.691138300108
113.4,307.691138300108
114.3,307.691138300108
115.2,307.691138300108
116.1,307.691138300108
117,307.691138300108
117.9,307.691138300108
118.8,307.691138300108
119.7,307.691138300108
120.6,307.691138300108
121.5,307.691138300108
122.4,307.691138300108
123.3,307.691138300108
124.2,307.691138300108
125.1,307.691138300108
126,307.691138300108
126.9,307.691138300108
127.8,307.691138300108
128.7,307.691138300108
129.6,307.691138300108
130.5,307.691138300108
131.4,307.691138300108
132.3,307.691138300108
133.2,307.691138300108
134.1,307.691138300108
135,307.691138300108
135.9,307.691138300108
136.8,307.691138300108
137.7,307.691138300108
138.6,307.691138300108
139.5,307.691138300108
140.4,307.691138300108
141.3,307.691138300108
142.2,307.691138300108
143.1,307.691138300108
144,307.691138300108
144.9,307.691138300108
145.8,307.691138300108
146.7,307.691138300108
147.6,307.691138300108
148.5,307.691138300108
149.4,307.691138300108
150.3,307.691138300108
151.2,307.691138300108
152.1,307.691138300108
153,307.691138300108
153.9,307.691138300108
154.8,307.691138300108
155.7,307.691138300108
156.6,307.691138300108
157.5,307.691138300108
158.4,307.691138300108
159.3,307.691138300108
160.2,307.691138300108
161.1,307.691138300108
162,307.691138300108
162.9,307.691138300108
163.8,307.691138300108
164.7,307.691138300108
165.6,307.691138300108
166.5,307.691138300108
167.4,307.691138300108
168.3,307.691138300108
169.2,307.691138300108
170.1,307.691138300108
171,307.691138300108
171.9,307.608701007475
172.8,307.608701007475
173.7,307.608701007475
174.6,307.608701007475
175.5,307.608701007475
176.4,307.691138300108
177.3,307.691138300108
178.2,307.608701007475
179.1,307.691138300108
180,307.691138300108
180.9,307.691138300108
181.8,307.691138300108
182.7,307.691138300108
183.6,307.691138300108
184.5,307.608701007475
185.4,307.608701007475
186.3,307.608701007475
187.2,307.691138300108
188.1,307.691138300108
189,307.608701007475
189.9,307.691138300108
190.8,307.691138300108
191.7,307.691138300108
192.6,307.691138300108
193.5,307.691138300108
194.4,307.691138300108
195.3,307.691138300108
196.2,307.691138300108
197.1,307.691138300108
198,307.691138300108
198.9,307.691138300108
199.8,307.691138300108
200.7,307.691138300108
201.6,307.691138300108
202.5,307.608701007475
203.4,307.691138300108
204.3,307.691138300108
205.2,307.691138300108
206.1,307.691138300108
207,307.691138300108
207.9,307.691138300108
208.8,307.608701007475
209.7,307.691138300108
210.6,307.608701007475
211.5,307.608701007475
212.4,307.691138300108
213.3,307.691138300108
214.2,307.608701007475
215.1,307.691138300108
216,307.691138300108
216.9,307.691138300108
217.8,307.691138300108
218.7,307.691138300108
219.6,307.608701007475
220.5,307.691138300108
221.4,307.691138300108
222.3,307.691138300108
223.2,307.691138300108
224.1,307.691138300108
225,307.691138300108
225.9,307.608701007475
226.8,307.691138300108
227.7,307.691138300108
228.6,307.608701007475
229.5,307.608701007475
230.4,307.608701007475
231.3,307.608701007475
232.2,307.608701007475
233.1,307.608701007475
234,307.608701007475
234.9,307.608701007475
235.8,307.608701007475
236.7,307.608701007475
237.6,307.608701007475
238.5,307.608701007475
239.4,307.608701007475
240.3,307.608701007475
241.2,307.608701007475
242.1,307.608701007475
243,307.608701007475
243.9,307.608701007475
244.8,307.608701007475
245.7,307.608701007475
246.6,307.608701007475
247.5,307.526354126161
248.4,307.608701007475
249.3,307.608701007475
250.2,307.608701007475
251.1,307.608701007475
252,307.608701007475
252.9,307.608701007475
253.8,307.608701007475
254.7,307.608701007475
255.6,307.608701007475
256.5,307.608701007475
257.4,307.526354126161
258.3,307.608701007475
259.2,307.526354126161
260.1,307.526354126161
261,307.526354126161
261.9,307.526354126161
262.8,307.526354126161
263.7,307.526354126161
264.6,307.526354126161
265.5,307.526354126161
266.4,307.526354126161
267.3,307.608701007475
268.2,307.608701007475
269.1,307.526354126161
270,307.526354126161
270.9,307.526354126161
271.8,307.526354126161
272.7,307.526354126161
273.6,307.526354126161
274.5,307.526354126161
275.4,307.526354126161
276.3,307.526354126161
277.2,307.526354126161
278.1,307.526354126161
279,307.526354126161
279.9,307.526354126161
280.8,307.526354126161
281.7,307.526354126161
282.6,307.526354126161
283.5,307.526354126161
284.4,307.526354126161
285.3,307.526354126161
286.2,307.526354126161
287.1,307.526354126161
288,307.526354126161
288.9,307.526354126161
289.8,307.526354126161
290.7,307.526354126161
291.6,307.526354126161
292.5,307.526354126161
293.4,307.526354126161
294.3,307.526354126161
295.2,307.526354126161
296.1,307.526354126161
297,307.526354126161
297.9,307.526354126161
298.8,307.526354126161
299.7,307.526354126161
300.6,307.526354126161
301.5,307.526354126161
302.4,307.526354126161
303.3,307.526354126161
304.2,307.526354126161
305.1,307.526354126161
306,307.526354126161
306.9,307.526354126161
307.8,307.526354126161
308.7,307.526354126161
309.6,307.526354126161
310.5,307.526354126161
311.4,307.526354126161
312.3,307.526354126161
313.2,307.526354126161
314.1,307.526354126161
315,307.526354126161
315.9,307.526354126161
316.8,307.526354126161
317.7,307.526354126161
318.6,307.526354126161
319.5,307.526354126161
320.4,307.526354126161
321.3,307.526354126161
322.2,307.526354126161
323.1,307.526354126161
324,307.526354126161
324.9,307.526354126161
325.8,307.526354126161
326.7,307.526354126161
327.6,307.526354126161
328.5,307.526354126161
329.4,307.526354126161
330.3,307.526354126161
331.2,307.526354126161
332.1,307.526354126161
333,307.526354126161
333.9,307.526354126161
334.8,307.526354126161
335.7,307.526354126161
336.6,307.526354126161
337.5,307.526354126161
338.4,307.526354126161
339.3,307.526354126161
340.2,307.526354126161
341.1,307.526354126161
342,307.526354126161
342.9,307.526354126161
343.8,307.526354126161
344.7,307.526354126161
345.6,307.444097119816
346.5,307.444097119816
347.4,307.444097119816
348.3,307.444097119816
349.2,307.526354126161
350.1,307.526354126161
351,307.526354126161
351.9,307.444097119816
352.8,307.444097119816
353.7,307.444097119816
354.6,307.444097119816
355.5,307.444097119816
356.4,307.526354126161
357.3,307.526354126161
358.2,307.526354126161
359.1,307.526354126161
360,307.526354126161
360.9,307.526354126161
361.8,307.526354126161
362.7,307.526354126161
363.6,307.526354126161
364.5,307.526354126161
365.4,307.526354126161
366.3,307.526354126161
367.2,307.444097119816
368.1,307.526354126161
369,307.444097119816
369.9,307.526354126161
370.8,307.444097119816
371.7,307.444097119816
372.6,307.444097119816
373.5,307.526354126161
374.4,307.526354126161
375.3,307.526354126161
376.2,307.526354126161
377.1,307.526354126161
378,307.444097119816
378.9,307.526354126161
379.8,307.526354126161
380.7,307.444097119816
381.6,307.444097119816
382.5,307.444097119816
383.4,307.444097119816
384.3,307.526354126161
385.2,307.444097119816
386.1,307.444097119816
387,307.444097119816
387.9,307.444097119816
388.8,307.444097119816
389.7,307.444097119816
390.6,307.444097119816
391.5,307.444097119816
392.4,307.526354126161
393.3,307.444097119816
394.2,307.444097119816
395.1,307.444097119816
396,307.444097119816
396.9,307.444097119816
397.8,307.444097119816
398.7,307.444097119816
399.6,307.444097119816
400.5,307.444097119816
401.4,307.444097119816
402.3,307.444097119816
403.2,307.444097119816
404.1,307.444097119816
405,307.444097119816
405.9,307.444097119816
406.8,307.444097119816
407.7,307.444097119816
408.6,307.444097119816
409.5,307.444097119816
410.4,307.444097119816
411.3,307.444097119816
412.2,307.444097119816
413.1,307.444097119816
414,307.444097119816
414.9,307.444097119816
415.8,307.444097119816
416.7,307.361929454532
417.6,307.361929454532
418.5,307.361929454532
419.4,307.361929454532
420.3,307.361929454532
421.2,307.444097119815
422.1,307.361929454532
423,307.361929454532
423.9,307.361929454532
424.8,307.361929454532
425.7,307.361929454532
426.6,307.361929454532
427.5,307.444097119816
428.4,307.444097119816
429.3,307.444097119816
430.2,307.361929454532
431.1,307.361929454532
432,307.361929454532
432.9,307.361929454532
433.8,307.361929454532
434.7,307.361929454532
435.6,307.361929454532
436.5,307.361929454532
437.4,307.361929454532
438.3,307.361929454532
439.2,307.361929454532
440.1,307.361929454532
441,307.444097119816
441.9,307.361929454532
442.8,307.444097119816
443.7,307.444097119815
444.6,307.361929454532
445.5,307.361929454532
446.4,307.361929454532
447.3,307.361929454532
448.2,307.361929454532
449.1,307.361929454532
450,307.361929454532
450.9,307.361929454532
451.8,307.361929454532
452.7,307.361929454532
453.6,307.361929454532
454.5,307.361929454532
455.4,307.361929454532
456.3,307.361929454532
457.2,307.361929454532
458.1,307.361929454532
459,307.361929454532
459.9,307.361929454532
460.8,307.279850598834
461.7,307.279850598834
462.6,307.279850598834
463.5,307.279850598834
464.4,307.279850598834
465.3,307.279850598834
466.2,307.279850598834
467.1,307.279850598834
468,307.279850598834
468.9,307.279850598834
469.8,307.279850598834
470.7,307.279850598834
471.6,307.279850598834
472.5,307.279850598834
473.4,307.279850598834
474.3,307.279850598834
475.2,307.279850598834
476.1,307.279850598834
477,307.361929454532
477.9,307.361929454532
478.8,307.361929454532
479.7,307.361929454532
480.6,307.361929454532
481.5,307.361929454532
482.4,307.361929454532
483.3,307.361929454532
484.2,307.361929454532
485.1,307.361929454532
486,307.361929454532
486.9,307.361929454532
487.8,307.361929454532
488.7,307.361929454532
489.6,307.361929454532
490.5,307.279850598834
491.4,307.279850598834
492.3,307.361929454532
493.2,307.361929454532
494.1,307.279850598834
495,307.279850598834
495.9,307.279850598834
496.8,307.279850598834
497.7,307.279850598834
498.6,307.279850598834
499.5,307.279850598834
500.4,307.279850598834
501.3,307.279850598834
502.2,307.279850598834
503.1,307.279850598834
504,307.279850598834
504.9,307.279850598834
505.8,307.279850598834
506.7,307.279850598834
507.6,307.279850598834
508.5,307.279850598834
509.4,307.279850598834
510.3,307.279850598834
511.2,307.279850598834
512.1,307.279850598834
513,307.279850598834
513.9,307.279850598834
514.8,307.279850598834
515.7,307.279850598834
516.6,307.279850598834
517.5,307.279850598834
518.4,307.279850598834
519.3,307.279850598834
520.2,307.279850598834
521.1,307.279850598834
522,307.279850598834
522.9,307.279850598834
523.8,307.279850598834
524.7,307.279850598834
525.6,307.279850598834
526.5,307.279850598834
527.4,307.279850598834
528.3,307.279850598834
529.2,307.279850598834
530.1,307.279850598834
531,307.279850598834
531.9,307.279850598834
532.8,307.279850598834
533.7,307.279850598834
534.6,307.279850598834
535.5,307.279850598834
536.4,307.279850598834
537.3,307.279850598834
538.2,307.279850598834
539.1,307.279850598834
540,307.279850598834
540.9,307.279850598834
541.8,307.279850598834
542.7,307.279850598834
543.6,307.279850598834
544.5,307.279850598834
545.4,307.279850598834
546.3,307.279850598834
547.2,307.279850598834
548.1,307.279850598834
549,307.279850598834
549.9,307.279850598834
550.8,307.279850598834
551.7,307.279850598834
552.6,307.279850598834
553.5,307.279850598834
554.4,307.279850598834
555.3,307.279850598834
556.2,307.279850598834
557.1,307.279850598834
558,307.279850598834
558.9,307.279850598834
559.8,307.279850598834
560.7,307.279850598834
561.6,307.279850598834
562.5,307.279850598834
563.4,307.279850598834
564.3,307.279850598834
565.2,307.197860023647
566.1,307.197860023647
567,307.197860023647
567.9,307.279850598834
568.8,307.279850598834
569.7,307.197860023647
570.6,307.197860023647
571.5,307.197860023647
572.4,307.197860023647
573.3,307.197860023647
574.2,307.197860023647
575.1,307.197860023647
576,307.197860023647
576.9,307.197860023647
577.8,307.197860023647
578.7,307.197860023647
579.6,307.197860023647
580.5,307.197860023647
581.4,307.197860023647
582.3,307.197860023647
583.2,307.197860023647
584.1,307.197860023647
585,307.197860023647
585.9,307.197860023647
586.8,307.197860023647
587.7,307.197860023647
588.6,307.197860023647
589.5,307.197860023647
590.4,307.197860023647
591.3,307.197860023647
592.2,307.197860023647
593.1,307.197860023647
594,307.279850598834
594.9,307.279850598834
595.8,307.279850598834
596.7,307.279850598834
597.6,307.197860023647
598.5,307.197860023647
599.4,307.197860023647
600.3,307.197860023647
601.2,307.197860023647
602.1,307.197860023647
603,307.197860023647
603.9,307.197860023647
604.8,307.197860023647
605.7,307.197860023647
606.6,307.197860023647
607.5,307.197860023647
608.4,307.197860023647
609.3,307.197860023647
610.2,307.197860023647
611.1,307.197860023647
612,307.197860023647
612.9,307.197860023647
613.8,307.197860023647
614.7,307.197860023647
615.6,307.197860023647
616.5,307.197860023647
617.4,307.197860023647
618.3,307.197860023647
619.2,307.197860023647
620.1,307.197860023647
621,307.197860023647
621.9,307.197860023647
622.8,307.197860023647
623.7,307.197860023647
624.6,307.197860023647
625.5,307.197860023647
626.4,307.197860023647
627.3,307.197860023647
628.2,307.197860023647
629.1,307.197860023647
630,307.197860023647
630.9,307.197860023647
631.8,307.197860023647
632.7,307.197860023647
633.6,307.197860023647
634.5,307.197860023647
635.4,307.197860023647
636.3,307.197860023647
637.2,307.197860023647
638.1,307.197860023647
639,307.197860023647
639.9,307.197860023647
640.8,307.197860023647
641.7,307.197860023647
642.6,307.197860023647
643.5,307.197860023647
644.4,307.197860023647
645.3,307.197860023647
646.2,307.197860023647
647.1,307.197860023647
648,307.197860023647
648.9,307.197860023647
649.8,307.197860023647
650.7,307.197860023647
651.6,307.197860023647
652.5,307.197860023647
653.4,307.197860023647
654.3,307.197860023647
655.2,307.197860023647
656.1,307.197860023647
657,307.197860023647
657.9,307.197860023647
658.8,307.197860023647
659.7,307.197860023647
660.6,307.197860023647
661.5,307.197860023647
662.4,307.197860023647
663.3,307.197860023647
664.2,307.197860023647
665.1,307.197860023647
666,307.197860023647
666.9,307.197860023647
667.8,307.197860023647
668.7,307.197860023647
669.6,307.197860023647
670.5,307.197860023647
671.4,307.197860023647
672.3,307.115957202282
673.2,307.115957202282
674.1,307.197860023647
675,307.197860023647
675.9,307.197860023647
676.8,307.197860023647
677.7,307.197860023647
678.6,307.197860023647
679.5,307.197860023647
680.4,307.197860023647
681.3,307.197860023647
682.2,307.197860023647
683.1,307.115957202282
684,307.115957202282
684.9,307.115957202282
685.8,307.115957202282
686.7,307.115957202282
687.6,307.115957202282
688.5,307.115957202282
689.4,307.115957202282
690.3,307.197860023647
691.2,307.115957202282
692.1,307.115957202282
693,307.115957202282
693.9,307.115957202282
694.8,307.115957202282
695.7,307.197860023647
696.6,307.197860023647
697.5,307.115957202282
698.4,307.115957202282
699.3,307.115957202282
700.2,307.115957202282
701.1,307.115957202282
702,307.115957202282
702.9,307.197860023647
703.8,307.115957202282
704.7,307.115957202282
705.6,307.115957202282
706.5,307.115957202282
707.4,307.115957202282
708.3,307.115957202282
709.2,307.115957202282
710.1,307.115957202282
711,307.115957202282
711.9,307.115957202282
712.8,307.115957202282
713.7,307.115957202282
714.6,307.115957202282
715.5,307.115957202282
716.4,307.115957202282
717.3,307.115957202282
718.2,307.115957202282
719.1,307.115957202282
720,307.115957202282
720.9,307.115957202282
721.8,307.115957202282
722.7,307.115957202282
723.6,307.115957202282
724.5,307.115957202282
725.4,307.115957202282
726.3,307.115957202282
727.2,307.115957202282
728.1,307.115957202282
729,307.115957202282
729.9,307.034141610411
730.8,307.034141610411
731.7,307.034141610411
732.6,307.034141610411
733.5,307.034141610411
734.4,307.034141610411
735.3,307.034141610411
736.2,307.034141610411
737.1,307.034141610411
738,307.034141610411
738.9,307.034141610411
739.8,307.034141610411
740.7,307.034141610411
741.6,307.034141610411
742.5,307.034141610411
743.4,307.115957202282
744.3,307.115957202282
745.2,307.034141610411
746.1,307.034141610411
747,307.034141610411
747.9,307.034141610411
748.8,307.034141610411
749.7,307.034141610411
